"","date","total","Armed_Assault","Bombing","Assisination","Hijacking","Hostage","Kidnapping","Facility_attack","Unarmed_assault","Unknown"
"434","2009-07-12",2,2,0,0,0,0,0,0,0,0
"435","2009-07-13",1,1,2,1,0,0,1,0,0,0
"436","2009-07-15",2,2,0,0,0,0,0,1,0,0
"437","2009-07-16",1,1,0,0,0,0,0,0,0,0
"438","2009-07-18",1,1,1,0,0,0,0,1,0,0
"439","2009-07-23",2,2,1,0,0,0,0,1,0,0
"440","2009-07-24",2,2,0,0,0,0,1,0,0,0
"441","2009-07-28",1,1,3,0,0,0,0,0,0,0
"442","2009-07-29",2,2,0,1,0,0,0,0,0,0
"443","2009-07-30",3,3,0,0,0,0,2,0,0,1
"444","2009-08-01",2,2,0,0,0,0,0,1,0,0
"445","2009-08-03",2,2,0,0,0,0,0,0,0,0
"446","2009-08-04",1,1,0,0,0,0,0,0,0,0
"447","2009-08-05",1,1,0,0,0,0,1,1,0,0
"448","2009-08-06",1,1,0,0,0,0,0,0,0,0
"449","2009-08-09",1,1,2,0,0,0,0,0,0,0
"450","2009-08-10",1,1,0,0,0,0,0,0,0,0
"451","2009-08-11",1,1,0,0,0,0,0,0,0,0
"452","2009-08-19",1,1,0,0,0,0,0,0,0,1
"453","2009-08-21",1,1,1,0,0,0,0,0,0,0
"454","2009-08-22",1,1,0,0,0,0,1,0,0,0
"455","2009-08-23",1,1,0,0,0,0,0,0,0,0
